segment,span,attacks,intervals,median_ioi_ms,dominant_peak_ms,dominant_share_pct,peaks,mass_in_peaks_pct,fitted_tatum_ms,fitted_beat_ms,fitted_bpm,beat_fit_score,median_lattice_error_pct,within_10pct_of_a_figure,swing_ratio,binary_grid_coin_toss_pct
A,0:00 – 3:37,529,528,337.5,337.2,50.2,6,92.2,113.0,335.0,179.1,0.862,1.2,93.2,1.7,38.2
B,3:37 – end,190,189,140.9,115.4,44.4,7,88.4,118.5,697.5,86.0,0.798,7.8,64.0,2.03,52.2
