segment,attack_seconds,ioi_ms
A,92.313,337.6
A,92.6506,335.7
A,92.9863,211.2
A,93.1975,339.4
A,93.5369,463.5
A,94.0004,335.2
A,94.3356,211.3
A,94.5469,799.2
A,95.3461,337.6
A,95.6837,209.8
A,95.8935,462.7
A,96.3562,338.2
A,96.6944,335.4
A,97.0298,209.8
A,97.2396,1014.5
A,98.2541,124.3
A,98.3784,210.0
A,98.5884,126.8
A,98.7152,332.9
A,99.0481,339.2
A,99.3873,336.7
A,99.724,339.4
A,100.0634,342.7
A,100.4061,335.0
A,100.7411,211.7
A,100.9528,339.2
A,101.292,124.7
A,101.4167,337.3
A,101.754,335.4
A,102.0894,212.3
A,102.3017,337.2
A,102.6389,464.4
A,103.1033,334.5
A,103.4378,211.7
A,103.6495,337.1
A,103.9866,464.6
A,104.4512,211.4
A,104.6626,333.6
A,104.9962,463.2
A,105.4594,674.4
A,106.1338,672.3
A,106.8061,674.3
A,107.4804,341.2
A,107.8216,332.0
A,108.1536,341.2
A,108.4948,211.0
A,108.7058,795.6
A,109.5014,341.4
A,109.8428,339.1
A,110.1819,673.3
A,110.8552,673.4
A,111.5286,674.7
A,112.2033,336.4
A,112.5397,210.4
A,112.7501,800.0
A,113.5501,337.1
A,113.8872,210.2
A,114.0974,463.4
A,114.5608,337.9
A,114.8987,335.7
A,115.2344,211.2
A,115.4456,801.1
A,116.2467,335.0
A,116.5817,210.9
A,116.7926,463.4
A,117.256,339.0
A,117.595,334.6
A,117.9296,217.0
A,118.1466,796.0
A,118.9426,341.4
A,119.284,211.4
A,119.4954,461.6
A,119.957,334.4
A,120.2914,339.3
A,120.6307,210.8
A,120.8415,795.6
A,121.6371,674.5
A,122.3116,675.2
A,122.9868,339.8
A,123.3266,209.2
A,123.5358,799.2
A,124.335,338.4
A,124.6734,211.1
A,124.8845,462.6
A,125.3471,335.4
A,125.6825,340.4
A,126.0229,210.9
A,126.2338,798.2
A,127.032,339.1
A,127.3711,211.4
A,127.5825,460.8
A,128.0433,342.3
A,128.3856,334.0
A,128.7196,212.1
A,128.9317,800.2
A,129.7319,336.3
A,130.0682,212.8
A,130.281,462.9
A,130.7439,337.0
A,131.0809,335.1
A,131.416,212.6
A,131.6286,799.4
A,132.428,547.1
A,132.9751,461.3
A,133.4364,338.6
A,133.775,211.1
A,133.9861,463.1
A,134.4492,335.8
A,134.785,337.3
A,135.1223,336.5
A,135.4588,336.9
A,135.7957,673.5
A,136.4692,2694.9
A,139.1641,674.9
A,139.839,334.9
A,140.1739,339.8
A,140.5137,1348.6
A,141.8623,341.7
A,142.204,1006.3
A,143.2103,1350.6
A,144.5609,672.7
A,145.2336,674.2
A,145.9078,1346.2
A,147.254,1348.2
A,148.6022,1347.8
A,149.95,338.6
A,150.2886,335.2
A,150.6238,340.9
A,150.9647,339.1
A,151.3038,334.9
A,151.6387,211.6
A,151.8503,461.1
A,152.3114,339.8
A,152.6512,211.0
A,152.8622,335.1
A,153.1973,1136.5
A,154.3338,339.1
A,154.6729,337.0
A,155.0099,336.6
A,155.3465,674.2
A,156.0207,547.7
A,156.5684,798.8
A,157.3672,337.1
A,157.7043,217.2
A,157.9215,331.9
A,158.2534,462.3
A,158.7157,336.7
A,159.0524,216.2
A,159.2686,457.0
A,159.7256,215.8
A,159.9414,334.9
A,160.2763,340.0
A,160.6163,335.4
A,160.9517,461.8
A,161.4135,339.7
A,161.7532,210.2
A,161.9634,796.1
A,162.7595,340.7
A,163.1002,210.3
A,163.3105,463.1
A,163.7736,335.5
A,164.1091,338.1
A,164.4472,335.2
A,164.7824,338.8
A,165.1212,336.5
A,165.4577,339.1
A,165.7968,209.6
A,166.0064,462.8
A,166.4692,338.2
A,166.8074,336.9
A,167.1443,336.0
A,167.4803,339.7
A,167.82,335.1
A,168.1551,216.0
A,168.3711,335.7
A,168.7068,462.7
A,169.1695,339.0
A,169.5085,211.2
A,169.7197,335.3
A,170.055,462.6
A,170.5176,338.3
A,170.8559,210.9
A,171.0668,336.3
A,171.4031,463.0
A,171.8661,210.3
A,172.0764,337.7
A,172.4141,463.3
A,172.8774,674.3
A,173.5517,673.6
A,174.2253,673.3
A,174.8986,337.6
A,175.2362,336.5
A,175.5727,335.5
A,175.9082,211.0
A,176.1192,802.8
A,176.922,334.4
A,177.2564,337.6
A,177.594,672.1
A,178.2661,676.2
A,178.9423,674.2
A,179.6165,340.8
A,179.9573,209.8
A,180.1671,797.7
A,180.9648,339.9
A,181.3047,210.2
A,181.5149,463.3
A,181.9782,334.5
A,182.3127,340.6
A,182.6533,210.6
A,182.8639,799.1
A,183.663,338.5
A,184.0015,211.8
A,184.2133,460.0
A,184.6733,337.4
A,185.0107,338.3
A,185.349,211.3
A,185.5603,797.8
A,186.3581,340.1
A,186.6982,213.1
A,186.9113,462.6
A,187.3739,338.6
A,187.7125,333.6
A,188.0461,213.6
A,188.2597,1136.4
A,189.3961,337.0
A,189.7331,1010.4
A,190.7435,211.6
A,190.9551,125.1
A,191.0802,337.8
A,191.418,672.5
A,192.0905,338.5
A,192.429,1008.6
A,193.4376,211.6
A,193.6492,125.8
A,193.775,338.2
A,194.1132,674.2
A,194.7874,337.3
A,195.1247,673.9
A,195.7986,336.3
A,196.1349,215.8
A,196.3507,122.4
A,196.4731,335.3
A,196.8084,338.1
A,197.1465,1349.7
A,198.4962,1687.0
A,200.1832,333.3
A,200.5165,1013.8
A,201.5303,211.7
A,201.742,124.6
A,201.8666,338.3
A,202.2049,673.7
A,202.8786,335.8
A,203.2144,1012.1
A,204.2265,210.9
A,204.4374,123.9
A,204.5613,339.9
A,204.9012,675.4
A,205.5766,332.6
A,205.9092,673.6
A,206.5828,341.2
A,206.924,210.6
A,207.1346,122.1
A,207.2567,340.2
A,207.5969,334.2
A,207.9311,709.0
A,208.6401,704.9
A,209.345,380.5
A,209.7255,373.2
A,210.0987,748.7
A,210.8474,748.6
A,211.596,397.3
A,211.9933,404.6
A,212.3979,796.2
A,213.1941,1001.4
B,218.2007,232.2
B,218.4329,232.5
B,218.6654,233.4
B,218.8988,233.4
B,219.1322,233.3
B,219.3655,233.9
B,219.5994,235.1
B,219.8345,233.1
B,220.0676,234.3
B,220.3019,235.4
B,220.5373,232.6
B,220.7699,233.1
B,221.003,240.8
B,221.2438,232.9
B,221.4767,234.0
B,221.7107,232.3
B,221.943,470.8
B,222.4138,233.8
B,222.6476,233.7
B,222.8813,232.6
B,223.1139,233.7
B,223.3476,240.5
B,223.5881,233.3
B,223.8214,233.5
B,224.0549,700.8
B,224.7557,936.4
B,225.6921,473.5
B,226.1656,235.0
B,226.4006,232.8
B,226.6334,1877.9
B,228.5113,935.1
B,229.4464,2811.3
B,232.2577,935.8
B,233.1935,473.7
B,233.6672,466.9
B,234.1341,1876.2
B,236.0103,935.8
B,236.9461,2810.4
B,239.7565,935.7
B,240.6922,478.7
B,241.1709,481.7
B,241.6526,118.5
B,241.7711,120.4
B,241.8915,124.0
B,242.0155,127.3
B,242.1428,119.2
B,242.262,122.4
B,242.3844,121.1
B,242.5055,126.2
B,242.6317,121.8
B,242.7535,121.2
B,242.8747,126.4
B,243.0011,121.6
B,243.1227,121.9
B,243.2446,119.8
B,243.3644,127.9
B,243.4923,123.0
B,243.6153,120.6
B,243.7359,128.2
B,243.8641,126.1
B,243.9902,125.2
B,244.1154,125.6
B,244.241,132.8
B,244.3738,127.4
B,244.5012,130.8
B,244.632,135.1
B,244.7671,137.2
B,244.9043,139.3
B,245.0436,131.7
B,245.1753,151.2
B,245.3265,148.7
B,245.4752,184.7
B,245.6599,253.0
B,245.9129,756.0
B,246.6689,747.0
B,247.4159,752.0
B,248.1679,755.2
B,248.9231,747.7
B,249.6708,747.5
B,250.4183,747.7
B,251.166,753.9
B,251.9199,746.0
B,252.6659,750.5
B,253.4164,754.5
B,254.1709,767.8
B,254.9387,788.4
B,255.7271,398.2
B,256.1253,393.8
B,256.5191,834.4
B,257.3535,882.0
B,258.2355,287.3
B,258.5228,140.9
B,258.6637,139.9
B,258.8036,148.9
B,258.9525,141.3
B,259.0938,102.7
B,259.1965,109.2
B,259.3057,215.7
B,259.5214,108.7
B,259.6301,103.8
B,259.7339,108.6
B,259.8425,109.8
B,259.9523,104.6
B,260.0569,106.6
B,260.1635,104.2
B,260.2677,110.3
B,260.378,107.0
B,260.485,107.7
B,260.5927,106.2
B,260.6989,103.8
B,260.8027,112.3
B,260.915,106.3
B,261.0213,105.0
B,261.1263,109.0
B,261.2353,108.5
B,261.3438,105.8
B,261.4496,108.8
B,261.5584,110.4
B,261.6688,281.0
B,261.9498,142.6
B,262.0924,142.3
B,262.2347,142.3
B,262.377,142.7
B,262.5197,106.8
B,262.6265,111.4
B,262.7379,211.9
B,262.9498,104.3
B,263.0541,110.1
B,263.1642,108.1
B,263.2723,104.7
B,263.377,106.6
B,263.4836,112.4
B,263.596,102.8
B,263.6988,108.4
B,263.8072,104.8
B,263.912,109.7
B,264.0217,108.5
B,264.1302,103.7
B,264.2339,212.7
B,264.4466,109.0
B,264.5556,110.4
B,264.666,100.7
B,264.7667,111.5
B,264.8782,102.7
B,264.9809,107.0
B,265.0879,284.8
B,265.3727,142.0
B,265.5147,148.8
B,265.6635,142.5
B,265.806,139.7
B,265.9457,749.9
B,266.6956,65.9
B,266.7615,67.2
B,266.8287,68.3
B,266.897,601.9
B,267.4989,59.3
B,267.5582,68.8
B,267.627,68.6
B,267.6956,601.2
B,268.2968,64.9
B,268.3617,68.6
B,268.4303,66.9
B,268.4972,656.4
B,269.1536,65.3
B,269.2189,69.0
B,269.2879,66.8
B,269.3547,61.3
B,269.416,596.0
B,270.012,66.0
B,270.078,67.8
B,270.1458,60.1
B,270.2059,730.2
B,270.9361,59.8
B,270.9959,67.5
B,271.0634,68.0
B,271.1314,804.2
B,271.9356,58.1
B,271.9937,68.6
B,272.0623,78.2
B,272.1405,8211.9
B,280.3524,4002.0
B,284.3544,999.4
B,285.3538,1000.9
B,286.3547,998.4
B,287.3531,1002.3
B,288.3554,6942.8
B,295.2982,3000.3
B,298.2985,1711.6
B,300.0101,1785.4
